Created directory results\ACM_2022-09-26_14-31-44
Downloading C:\Users\lenovo\.dgl/ACM3025.pkl from https://data.dgl.ai/dataset/ACM3025.pkl...
dataset loaded
{'dataset': '细胞因子', 'test': 0.4, 'train': 0.2, 'val': 0.4}
bbbbb
aaaaaaaaaaaaaaaaaaaaaaa
Epoch 64 | Train Loss 0.5346 | Train Micro f1 1.0000 | Train Macro f1 1.0000 | Val Loss 0.5984 | Val Micro f1 0.8313 | Val Macro f1 0.8263
Epoch 65 | Train Loss 0.5045 | Train Micro f1 1.0000 | Train Macro f1 1.0000 | Val Loss 0.5957 | Val Micro f1 0.8313 | Val Macro f1 0.8263
Epoch 66 | Train Loss 0.4941 | Train Micro f1 1.0000 | Train Macro f1 1.0000 | Val Loss 0.5931 | Val Micro f1 0.8250 | Val Macro f1 0.8195
Epoch 67 | Train Loss 0.4850 | Train Micro f1 0.9875 | Train Macro f1 0.9875 | Val Loss 0.5904 | Val Micro f1 0.8250 | Val Macro f1 0.8195
Epoch 68 | Train Loss 0.5116 | Train Micro f1 1.0000 | Train Macro f1 1.0000 | Val Loss 0.5876 | Val Micro f1 0.8250 | Val Macro f1 0.8195
Epoch 69 | Train Loss 0.4626 | Train Micro f1 1.0000 | Train Macro f1 1.0000 | Val Loss 0.5849 | Val Micro f1 0.8250 | Val Macro f1 0.8195
Epoch 70 | Train Loss 0.4838 | Train Micro f1 1.0000 | Train Macro f1 1.0000 | Val Loss 0.5820 | Val Micro f1 0.8250 | Val Macro f1 0.8195
Epoch 71 | Train Loss 0.4839 | Train Micro f1 0.9875 | Train Macro f1 0.9875 | Val Loss 0.5791 | Val Micro f1 0.8250 | Val Macro f1 0.8195
Epoch 72 | Train Loss 0.4889 | Train Micro f1 1.0000 | Train Macro f1 1.0000 | Val Loss 0.5761 | Val Micro f1 0.8250 | Val Macro f1 0.8195
Epoch 73 | Train Loss 0.4530 | Train Micro f1 1.0000 | Train Macro f1 1.0000 | Val Loss 0.5732 | Val Micro f1 0.8250 | Val Macro f1 0.8195
Epoch 74 | Train Loss 0.4510 | Train Micro f1 1.0000 | Train Macro f1 1.0000 | Val Loss 0.5705 | Val Micro f1 0.8187 | Val Macro f1 0.8126
Epoch 75 | Train Loss 0.4537 | Train Micro f1 1.0000 | Train Macro f1 1.0000 | Val Loss 0.5677 | Val Micro f1 0.8187 | Val Macro f1 0.8126
Epoch 76 | Train Loss 0.4494 | Train Micro f1 1.0000 | Train Macro f1 1.0000 | Val Loss 0.5649 | Val Micro f1 0.8187 | Val Macro f1 0.8126
Epoch 77 | Train Loss 0.4527 | Train Micro f1 1.0000 | Train Macro f1 1.0000 | Val Loss 0.5618 | Val Micro f1 0.8187 | Val Macro f1 0.8126
Epoch 78 | Train Loss 0.4550 | Train Micro f1 1.0000 | Train Macro f1 1.0000 | Val Loss 0.5586 | Val Micro f1 0.8187 | Val Macro f1 0.8126
